year,block,irrigation,crop,cereal_yield
2022,3,WW,75Barley+50Pea,62.12786885
2023,3,WW,75Barley+50Pea,550.8196721
2022,3,WW,50Wheat+50Pea,113.0327869
2023,3,WW,50Wheat+50Pea,385.5737705
2022,3,WW,75Barley+75Pea,233.295082
2023,3,WW,75Barley+75Pea,679.3442623
2022,3,WW,Wheat,155.2393443
2023,3,WW,Wheat,321.3114754
2022,3,WW,Barley,218.4
2023,3,WW,Barley,670.1639344
2022,3,DS,75Wheat+25Pea,143.3770492
2023,3,DS,75Wheat+25Pea,367.2131148
2022,3,DS,Pea,NA
2023,3,DS,Pea,NA
2022,3,DS,75Barley+75Pea,193.842623
2023,3,DS,75Barley+75Pea,298.3606557
2022,3,DS,75Barley+50Pea,186.2229508
2023,3,DS,75Barley+50Pea,335.0819672
2022,3,DS,75Barley+25Pea,257.6721311
2023,3,DS,75Barley+25Pea,504.9180328
2022,3,DS,75Wheat+75Pea,98
2023,3,DS,75Wheat+75Pea,316.7213115
2022,3,DS,50Barley+50Pea,121.9606557
2023,3,DS,50Barley+50Pea,440.6557377
2022,3,DS,50Wheat+50Pea,81.63606557
2023,3,DS,50Wheat+50Pea,344.2622951
2022,3,DS,75Wheat+50Pea,109.5672131
2023,3,DS,75Wheat+50Pea,312.1311475
2022,3,DS,Wheat,117.9213115
2023,3,DS,Wheat,477.3770492
2022,3,DS,Barley,237.9081967
2023,3,DS,Barley,1220.983607
2022,4,DS,75Barley+75Pea,287
2023,4,DS,75Barley+75Pea,408.5245902
2022,4,DS,75Wheat+75Pea,134.0327869
2023,4,DS,75Wheat+75Pea,459.0163934
2022,4,DS,75Wheat+25Pea,167.6065574
2023,4,DS,75Wheat+25Pea,347.5409836
2023,4,DS,75Barley+25Pea,563.9344262
2022,4,DS,75Barley+50Pea,214.7278689
2023,4,DS,75Barley+50Pea,555.4098361
2022,4,DS,75Wheat+50Pea,93.6852459
2023,4,DS,75Wheat+50Pea,206.557377
2022,4,DS,50Barley+50Pea,204.147541
2023,4,DS,50Barley+50Pea,449.8360656
2022,4,DS,Pea,NA
2023,4,DS,Pea,NA
2023,4,DS,50Wheat+50Pea,243.2786885
2022,4,DS,Wheat,131.8295082
2023,4,DS,Wheat,504.9180328
2022,4,DS,Barley,266.8721311
2023,4,DS,Barley,569.1803279
2022,4,WW,75Wheat+50Pea,124.6918033
2023,4,WW,75Wheat+50Pea,335.0819672
2022,4,WW,75Barley+25Pea,294.295082
2023,4,WW,75Barley+25Pea,662.295082
2022,4,WW,Pea,NA
2023,4,WW,Pea,NA
2022,4,WW,75Wheat+75Pea,104.4491803
2023,4,WW,75Wheat+75Pea,261.6393443
2022,4,WW,75Barley+50Pea,273.8262295
2023,4,WW,75Barley+50Pea,495.7377049
2022,4,WW,75Barley+75Pea,289.2032787
2023,4,WW,75Barley+75Pea,491.147541
2022,4,WW,75Wheat+25Pea,147.704918
2023,4,WW,75Wheat+25Pea,295.0819672
2022,4,WW,50Wheat+50Pea,71.12459016
2023,4,WW,50Wheat+50Pea,302.9508197
2022,4,WW,50Barley+50Pea,250.3934426
2023,4,WW,50Barley+50Pea,481.9672131
2022,4,WW,Wheat,187.8754098
2023,4,WW,Wheat,550.8196721
2022,4,WW,Barley,352.2032787
2023,4,WW,Barley,660.9836066
