site,year,siteyear,rainfall,mgmt,plot,bloc,Ptrt,Inoc,Cv,order,enduse,Zadok1,SPAD1,SRints1,SRsev1,height,tiller,Zadok2,SRints2,SRsev2,SPAD2,tstwt,HI,yieldKG,yieldBU,tkw,myco,Protein,Moisture,Hardness,Starch,SDS,oldWSC,WSC,W,Cu,Fe,Mn,Zn,Cu_adj,Fe_adj,Mn_adj,Zn_adj,PT1,PT2,PT3,Pseeds,PT2adj,PT3adj,PSEEDSadj,P_uptake,Pfinal,Padj_final
Benge,2009,Benge2009,low,organic,36,1,high,none,BlancaG,36,hard,,,,,42.3,200,,,,,59,0.395348837,618.77,9.34,31.4,13.95348837,13.38,,,,15.4,326.1128859,321.5537348,,5.416,42.46,35.86,31.47,5.416,42.46,35.86,31.47,2179.33,930.05,287.27,3063.91,783.39,241.97,1895.85,0.8868,3351.18,2137.82
Benge,2009,Benge2009,low,organic,37,1,high,none,OTIS,39,hard,,,,,60.3,208,,,,,55.13,0.277777778,815.96,13.19,46.2,33.96226415,14.29,,,,13.4,311.4897416,354.5577803,,5.418,42.34,36.66,29.75,5.418,42.34,36.66,29.75,2172.12,782.58,342.13,2757.8,1368.85,598.44,2250.26,0.7899,3099.93,2848.7
Benge,2009,Benge2009,low,organic,38,1,high,none,LOUISE,38,soft,,,,,61.3,412,,,,,54.37,0.384615385,1171.61,19.2,36,1.724137931,11.93,,,,11.9,257.9036035,298.9052099,,4.948,41.08,33.65,24.69,4.948,41.08,33.65,24.69,1984.22,548,133.38,2550.41,1096.97,266.99,2988.08,0.918,2683.79,3255.07
Benge,2009,Benge2009,low,organic,39,1,high,none,WALWORTH,40,hard,,,,,45.7,144,,,,,53.99,0.238095238,716.75,11.83,37.7,2.5,14.58,,,,16.6,450.6672857,398.7846787,,4.827,44.19,32.47,30.47,4.827,44.19,32.47,30.47,1572.93,598.88,325.21,2608.24,823.29,447.07,1869.45,0.807,2933.45,2316.52
Benge,2009,Benge2009,low,organic,40,1,high,none,ALPOWA,37,soft,,,,,51.3,148,,,,,54.75,0.28,975.31,15.87,30.8,23.91304348,11.63,,,,11.9,401.0785447,414.2930029,,4.429,36.6,32.24,27.52,4.429,36.6,32.24,27.52,1716.4,717.99,184.87,2689.18,1093.91,,2622.79,,2874.05,2622.79
Benge,2009,Benge2009,low,organic,41,2,low,myco,WALWORTH,55,hard,,,,,51.3,176,,,,,53.61,0.285714286,1056.95,17.56,24.4,5.769230769,14.84,,,,14.5,345.4365232,287.9218925,,5.124,46.96,34.71,28.16,5.124,46.96,34.71,28.16,2044.06,1115.48,350.33,3180.79,2261.34,710.21,3361.93,0.8256,3531.12,4072.14
Benge,2009,Benge2009,low,organic,42,2,low,myco,BlancaG,54,hard,,,,,45.3,148,,,,,61,0.413793103,717.34,10.48,30,10.71428571,12.86,,,,15.7,273.730059,300.2698905,,5.959,41.4,41.96,33.32,5.959,41.4,41.96,33.32,2264.76,1276.44,212.46,3516.15,1246.45,207.47,2522.29,0.924,3728.61,2729.76
Benge,2009,Benge2009,low,organic,43,2,low,myco,LOUISE,53,soft,,,,,61.3,212,,,,,58.43,0.333333333,1096.7,16.72,30.1,26.5625,10.74,,,,9.6,395.7686521,397.7097882,,5.046,38.93,38.97,29.22,5.046,38.93,38.97,29.22,2617.91,1162.02,211.28,3360.24,2177.38,395.89,3685.19,0.903,3571.52,4081.08
Benge,2009,Benge2009,low,organic,44,2,low,myco,OTIS,52,hard,,,,,52.3,372,,,,,61,0.324324324,725.54,10.6,28.8,11.53846154,11.96,,,,10.5,303.2549416,350.5500082,,5.581,37.66,39.24,30.25,5.581,37.66,39.24,30.25,1979.02,1043.63,164.49,3278.69,1623.17,255.83,2378.82,0.9029,3443.18,2634.65
Benge,2009,Benge2009,low,organic,45,2,low,myco,ALPOWA,51,soft,,,,,51,188,,,,,59.32,0.4375,897.65,13.48,30.5,28.07017544,10.57,,,,10.2,332.8876636,383.6606853,,4.781,34.99,31.01,27.28,4.781,34.99,31.01,27.28,1977.47,1266.98,221.25,3389.88,1776.61,310.25,3042.91,0.9075,3611.13,3353.16
Benge,2009,Benge2009,low,organic,46,2,low,none,OTIS,49,hard,,,,,58,416,,,,,59.06,0.275862069,1004.49,15.15,27.2,4.545454546,12.04,,,,10.8,177.3508051,165.1036948,,5.416,39.9,41.65,32.88,5.416,39.9,41.65,32.88,2324.43,1414.47,170.15,3435.86,3045.76,366.38,3451.27,0.904,3606.01,3817.65
Benge,2009,Benge2009,low,organic,47,2,low,none,WALWORTH,46,hard,,,,,57,184,,,,,57.03,0.272727273,951.1,14.86,24.8,6.896551724,13.5,,,,14.8,305.8588074,236.0285131,,4.688,41.98,39.2,25.79,4.688,41.98,39.2,25.79,2083.25,1287.9,191.08,3265.98,2349.42,348.57,3106.29,0.8991,3457.06,3454.86
Benge,2009,Benge2009,low,organic,48,2,low,none,BlancaG,47,hard,,,,,46,164,,,,,59.19,0.470588235,811.37,12.21,30.3,20,11.84,,,,11,253.1342987,54.68362399,,5.314,39.65,40.55,30.9,5.314,39.65,40.55,30.9,2392.7,667.42,327.02,3485.06,737.17,361.19,2827.69,0.8867,3812.08,3188.88
Benge,2009,Benge2009,low,organic,49,2,low,none,LOUISE,48,soft,,,,,58,264,,,,,55.64,0.40625,1387.99,22.23,30.4,16.94915254,11.31,,,,11,329.0708844,331.4060078,,4.973,39.51,34.04,28.3,4.973,39.51,34.04,28.3,2085.15,989.67,303.24,3047.13,2346.96,719.12,4229.39,0.8547,3350.37,4948.51
Benge,2009,Benge2009,low,organic,50,2,low,none,ALPOWA,50,soft,,,,,53.7,300,,,,,58.43,0.407407407,980.59,14.95,28.2,3.571428571,11.75,,,,10.2,311.1006618,259.7908081,,4.792,35.01,29.55,25.07,4.792,35.01,29.55,25.07,1945.85,1473.9,119.75,3201.67,2257.73,183.43,3139.52,0.9448,3321.42,3322.95
Benge,2009,Benge2009,low,organic,51,2,high,myco,LOUISE,6,soft,,,,,64,224,,,,,56.65,0.418181818,1408.68,22.15,31,48,12.1,,,,10.5,284.2726461,276.3297423,,4.441,40.89,33.17,25.5,4.441,40.89,33.17,25.5,2502.24,861.61,155.08,2634.84,2073.72,373.24,3711.64,0.9086,2789.92,4084.88
Benge,2009,Benge2009,low,organic,52,2,high,myco,WALWORTH,7,hard,,,,,57.3,388,,,,,55.64,0.346153846,889.34,14.24,25.1,11.32075472,15.49,,,,12.5,293.4660333,323.661995,,5.882,45.41,32.27,33.4,5.882,45.41,32.27,33.4,1923.29,929.12,103.86,3035.73,,177.16,2699.79,0.9384,3139.59,2876.95
Benge,2009,Benge2009,low,organic,53,2,high,myco,BlancaG,8,hard,,,,,43.3,264,,,,,59,0.476923077,359.81,5.43,30.3,23.33333333,14.56,,,,16.6,295.4619681,307.0163113,,6.007,49.64,40.02,45.53,6.007,49.64,40.02,45.53,2303.63,1826.12,281.55,3424.63,894.43,137.9,1232.21,0.8994,3706.18,1370.11
Benge,2009,Benge2009,low,organic,54,2,high,myco,ALPOWA,9,soft,,,,,54,196,,,,,54.88,0.3,1057.8,17.17,24.7,27.45098039,12.99,,,,12.5,248.6937068,139.5619118,,4.469,56.19,30.35,31.76,4.469,56.19,30.35,31.76,2011.86,1040.46,166.38,2700.5,1719.28,274.93,2856.59,0.9122,2866.88,3131.52
Benge,2009,Benge2009,low,organic,55,2,high,myco,OTIS,10,hard,,,,,70.7,276,,,,,56.78,0.27027027,1152.09,18.08,25,20.45454545,15.21,,,,17.4,281.5035449,293.9050757,,5.495,45.45,40.88,26.85,5.495,45.45,40.88,26.85,1912.05,949.84,178.57,2837.15,2345.82,441.01,3268.65,0.8811,3015.72,3709.66
Benge,2009,Benge2009,low,organic,56,2,high,none,BlancaG,13,hard,,,,,43.3,232,,,,,58,0.428571429,555.53,8.53,29.4,35.18518519,15.03,,,,17.1,206.0599268,217.3535138,,6.401,49.35,42.1,35.33,6.401,49.35,42.1,35.33,2417.5,1286.05,200.74,3299.98,972.55,151.81,1833.25,0.9235,3500.72,1985.06
Benge,2009,Benge2009,low,organic,57,2,high,none,LOUISE,15,soft,,,,,56.7,196,,,,,56.4,0.396226415,1443.73,22.81,30.6,15.2173913,12.53,,,,13.4,315.3851786,332.729257,,4.852,41.12,33.45,26.32,4.852,41.12,33.45,26.32,2584.81,901.31,225.4,2597.52,2223.26,555.99,3750.11,0.8709,2822.92,4306.1
Benge,2009,Benge2009,low,organic,58,2,high,none,ALPOWA,12,soft,,,,,49.3,156,,,,,56.15,0.319148936,1001.78,15.9,27.5,8.771929825,12.4,,,,12.5,388.2599381,431.3252603,,4.294,38.4,30.5,27.67,4.294,38.4,30.5,27.67,2001.2,859.04,173.93,2646.53,1344.32,272.18,2651.25,0.9069,2820.46,2923.43
Benge,2009,Benge2009,low,organic,59,2,high,none,WALWORTH,14,hard,,,,,51.3,248,,,,,55.01,0.382352941,1083.56,17.55,25.6,21.73913043,14.95,,,,14.8,271.4696424,246.2816405,,5.258,46.37,36.48,29.88,5.258,46.37,36.48,29.88,1959.8,986.67,131.41,2758.89,2050.57,273.11,2989.43,0.9163,2890.3,3262.54
Benge,2009,Benge2009,low,organic,60,2,high,none,OTIS,11,hard,,,,,62.7,220,,,,,57.54,0.314285714,1047.25,16.22,28.1,0,15.01,,,,13.4,203.2965357,181.3197801,,5.456,44.62,41.01,27.82,5.456,44.62,41.01,27.82,2134.74,1259.17,122.64,2656.41,2826.79,275.31,2781.94,0.9099,2779.05,3057.25
Benge,2009,Benge2009,low,organic,61,2,high,none,OTIS,35,hard,,,,,63.3,384,,,,,56.4,0.434782609,1038.9,16.41,27.5,6.52173913,13.88,,,,13.7,337.4290671,337.8242482,,5.288,42.24,38.4,26.82,5.288,42.24,38.4,26.82,2550.84,820.67,131.36,2474.98,1827.68,292.55,2571.25,0.8978,2606.34,2863.8
Benge,2009,Benge2009,low,organic,62,2,high,none,LOUISE,34,soft,,,,,59,172,,,,,56.15,0.432432432,1321.71,20.97,28.7,19.35483871,11.5,,,,11.3,411.8899574,479.0666329,,4.705,41.31,34.88,25.45,4.705,41.31,34.88,25.45,2492.84,872.51,228.5,2673.88,1970.31,516.01,3534.09,0.8726,2902.38,4050.1
Benge,2009,Benge2009,low,organic,63,2,high,none,WALWORTH,33,hard,,,,,48.3,188,,,,,58.05,0.4,739.82,11.36,28.2,30.18867925,14.34,,,,14.5,396.9237326,353.1845889,,4.978,43.49,33.84,27.82,4.978,43.49,33.84,27.82,1949.95,1133.28,114.45,2301.37,1608.11,162.4,1702.6,0.9129,2415.82,1865
Benge,2009,Benge2009,low,organic,64,2,high,none,ALPOWA,32,soft,,,,,51.7,256,,,,,57.67,0.470588235,1077.36,16.64,29.5,69.6969697,11.88,,,,13.9,368.9429255,373.7655166,,4.168,37.12,28.4,27.09,4.168,37.12,28.4,27.09,2065.96,860.01,114.84,2656.03,1447.37,193.27,2861.49,0.9367,2770.87,3054.76
Benge,2009,Benge2009,low,organic,65,2,high,none,BlancaG,31,hard,,,,,44.3,156,,,,,61,0.411764706,395.49,5.78,33.2,25,15.38,,,,15.4,280.9199546,309.0866745,,6.6,50.39,39.85,34.78,6.6,50.39,39.85,34.78,2302.05,1368.83,449.86,3588.19,736.95,242.19,1419.1,0.8542,4038.05,1661.29
Benge,2009,Benge2009,low,organic,66,2,high,myco,ALPOWA,29,soft,,,,,51.7,252,,,,,57.79,0.451612903,1035.37,15.96,30.2,18.51851852,12.01,,,,11.9,264.8717679,326.5412334,,4.543,38.11,28.73,28.45,4.543,38.11,28.73,28.45,1878.72,1073.42,195.93,2677.85,1736.13,316.89,2772.56,0.8974,2873.78,3089.45
Benge,2009,Benge2009,low,organic,67,2,high,myco,BlancaG,30,hard,,,,,43,196,,,,,61,0.384615385,475.9,6.95,31.2,4.651162791,14.23,,,,15.4,276.8841946,239.1930064,,6.403,45.8,36.01,34.11,6.403,45.8,36.01,34.11,2440.02,1160.13,702.66,3306.29,751.57,455.2,1573.47,0.7756,4008.95,2028.67
Benge,2009,Benge2009,low,organic,68,2,high,myco,LOUISE,27,soft,,,,,56.3,248,,,,,56.78,0.413793103,1229.96,19.3,32,9.615384615,10.86,,,,9.3,455.7005616,356.7190324,,5.459,43.45,35.25,28.05,5.459,43.45,35.25,28.05,2296.84,587.99,199.62,2860.82,1235.63,419.5,3518.68,0.8935,3060.44,3938.18
Benge,2009,Benge2009,low,organic,69,2,high,myco,OTIS,26,hard,,,,,61,372,,,,,57.79,0.4,937.53,14.45,29.7,14.81481481,12.86,,,,12.2,255.6944132,235.1314798,,6.687,43.12,38.13,29.09,6.687,43.12,38.13,29.09,2520.99,798.85,133.02,2943.25,1605.48,267.34,2759.38,0.9117,3076.27,3026.72
Benge,2009,Benge2009,low,organic,70,2,high,myco,WALWORTH,28,hard,,,,,49,152,,,,,56.91,0.391304348,921.5,14.43,26.5,15.68627451,13.88,,,,17.1,372.3529299,320.321043,,5.099,44.92,36.57,30.17,5.099,44.92,36.57,30.17,1956.53,752.7,86.83,2815.1,1330.35,153.47,2594.12,0.9441,2901.93,2747.59
Benge,2009,Benge2009,low,organic,71,2,low,myco,LOUISE,75,soft,,,,,51.3,228,,,,,51.58,0.290322581,718.62,12.41,25.6,,14.28,,,,16,157.4831931,136.7672319,,4.72,43.02,38.95,28.03,4.72,43.02,38.95,28.03,1950.44,427.91,256.29,2715.25,525.38,314.67,1951.23,0.8611,2971.54,2265.9
Benge,2009,Benge2009,low,organic,72,2,low,myco,BlancaG,74,hard,,,,,43.3,448,,,,,56.91,0.43902439,1021.44,15.99,28.7,11.11111111,13.9,,,,15.1,320.4843605,355.2238283,,5.721,55.07,43.97,31.08,5.721,55.07,43.97,31.08,2270.29,820.2,233.51,2944.71,1140.45,324.68,3007.85,0.9026,3178.22,3332.53
Benge,2009,Benge2009,low,organic,73,2,low,myco,OTIS,73,hard,,,,,60,300,,,,,55.39,0.305555556,901.57,14.5,26.7,31.57894737,13.6,,,,12.5,301.9639194,294.0608993,,5.917,40.03,37.44,28.19,5.917,40.03,37.44,28.19,2428.19,975.57,476.74,3091,1885.45,921.37,2786.75,0.7515,3567.74,3708.12
Benge,2009,Benge2009,low,organic,74,2,low,myco,WALWORTH,72,hard,,,,,50.3,116,,,,,57.54,0.444444444,1212.07,18.77,27.2,,14.93,,,,16,341.3553731,351.739227,,4.569,43.78,37.3,34.51,4.569,43.78,37.3,34.51,2427.42,1011.98,350.52,3162.29,2352.61,814.88,3832.91,0.8247,3512.81,4647.79
Benge,2009,Benge2009,low,organic,75,2,low,myco,ALPOWA,71,soft,,,,,54.7,204,,,,,55.26,0.388888889,1481.64,23.89,26.9,32,12.95,,,,11.6,301.713792,229.7057277,,4.528,39.14,32.49,29.9,4.528,39.14,32.49,29.9,1918.84,,652.1,3003,,1509.3,4449.36,0.7467,3655.1,5958.66
Benge,2009,Benge2009,low,organic,76,2,low,none,ALPOWA,70,soft,,,,,55.3,216,,,,,57.79,0.4375,1508.53,23.25,29.3,25,10.59,,,,10.5,456.1407159,400.3110244,,3.934,35.87,30.98,26.07,3.934,35.87,30.98,26.07,1858.92,1232.71,491.87,3013.59,2904.91,1159.11,4546.08,0.7968,3505.46,5705.19
