"rep","ibloc","range","row","variety","yield"
"3","24",8,6,"WA8397",82.48086
"3","24",8,5,"Norwest Tandem",79.562511496063
"3","24",8,4,"Nimbus",66.47256
"3","24",8,3,"Rosalyn",NA
"3","24",8,2,"AP Olympia",67.4246817391304
"3","24",8,1,"LCS Drive",NA
"3","25",9,1,"ARS Castella",NA
"3","25",9,2,"LCS Hydra AX",82.9353080769231
"3","25",9,3,"AP Exceed",NA
"3","25",9,4,"LWWC21-0119",57.995784
"3","25",9,5,"Piranha CL+",67.23486
"3","25",9,6,"OR2180350",70.25865
"3","26",9,7,"WA8346 AX",71.9051713761468
"3","26",9,8,"ORI2190025 CL+",77.72919
"3","26",9,9,"Stephens",71.5464288
"3","26",9,10,"LWW21-1834",74.4598449557522
"3","26",9,11,"OR5190014",79.2198350442478
"3","26",9,12,"WB1922",81.2210589473684
"3","27",9,13,"WA8404",NA
"3","27",9,14,"UIL 17-7706 CL+",73.2379725
"3","27",9,15,"LCS Blackjack",81.3111237931035
"3","27",9,16,"ORI2190027 CL+",84.3284684745763
"3","27",9,17,"LWWC21-0317",71.6523402531646
"3","27",9,18,"Calypso",87.0527301265823
